FAM;GEN;EPIT;SP
Poaceae;Gynerium;sagittatum;Gynerium sagittatum (Aubl.) P.Beauv.
Poaceae;Hildaea;pallens;Hildaea pallens (Sw.) C.Silva & R.P.Oliveira
Poaceae;Ichnanthus;calvescens;Ichnanthus calvescens (Nees ex Trin.) Döll
Poaceae;Ichnanthus;leiocarpus;Ichnanthus leiocarpus (Spreng.) Kunth
Poaceae;Isachne;ligulata;Isachne ligulata Swallen
Poaceae;Lasiacis;divaricata;Lasiacis divaricata (L.) Hitchc.
Poaceae;Leersia;hexandra;Leersia hexandra Sw.
Poaceae;Luziola;peruviana;Luziola peruviana Juss. ex J.F.Gmel.
Poaceae;Mesosetum;pappophorum;Mesosetum pappophorum (Nees) Kuhlm.
Poaceae;Nassella;trichotoma;Nassella trichotoma (Nees) Hack. ex Arechav.
Poaceae;Oedochloa;camporum;Oedochloa camporum (Swallen) C.Silva & R.P.Oliveira
Poaceae;Panicum;axillare;Panicum axillare Nees
Poaceae;Paspalum;scutatum;Paspalum scutatum Nees ex Trin.
Poaceae;Saccharum;villosum;Saccharum villosum Steud.
Poaceae;Schizachyrium;microstachyum;Schizachyrium microstachyum (Desv. ex Ham.) Roseng., B.R. Arrill. & Izag.
Poaceae;Schizachyrium;sanguineum;Schizachyrium sanguineum (Retz.) Alston
Poaceae;Trachypogon;ligularis;Trachypogon ligularis Nees
Poaceae;Tragus;berteronianus;Tragus berteronianus Schult.
Polygalaceae;Polygala;roubienna;Polygala roubienna A.St.-Hil. & Moq.
Polygalaceae;Polygala;trichosperma;Polygala trichosperma Jacq.
Polygonaceae;Polygonum;stelligerum;Polygonum stelligerum Cham.
Polygonaceae;Ruprechtia;apetala;Ruprechtia apetala Wedd.
Polypodiaceae;Pecluma;dulce;Pecluma dulce (Poir.) F.C. Assis & Salino
Polypodiaceae;Polypodium;lanceolatum;Polypodium lanceolatum L.
Polypodiaceae;Serpocaulon;fraxinifolium;Serpocaulon fraxinifolium (Jacq.) A.R.Sm.
Pontederiaceae;Eichhornia;crassipes;Eichhornia crassipes (Mart.) Solms
Pontederiaceae;Eichhornia;paniculata;Eichhornia paniculata (Spreng.) Solms
Pontederiaceae;Hydrothrix;gardneri;Hydrothrix gardneri Hook.f.
Portulacaceae;Portulaca;halimoides;Portulaca halimoides L.
Pottiaceae;Barbula;indica;Barbula indica (Hook.) Spreng.
Primulaceae;Cybianthus;detergens;Cybianthus detergens Mart.
Primulaceae;Myrsine;coriacea;Myrsine coriacea (Sw.) R.Br. ex Roem. & Schult.
Pteridaceae;Acrostichum;danaeifolium;Acrostichum danaeifolium Langsd. & Fisch.
Pteridaceae;Adiantum;diphyllum;Adiantum diphyllum (Fée) Maxon
Pteridaceae;Adiantum;terminatum;Adiantum terminatum Kunze ex Miq.
Pteridaceae;Doryopteris;sagittifolia;Doryopteris sagittifolia (Raddi) J.Sm.
Pteridaceae;Ormopteris;pinnata;Ormopteris pinnata (Kaulf.) Lellinger
Pteridaceae;Ormopteris;riedelii;Ormopteris riedelii (Baker) T.Barbará
Ranunculaceae;Ranunculus;catharinensis;Ranunculus catharinensis Lourteig
Rhamnaceae;Ziziphus;joazeiro;Ziziphus joazeiro Mart.
Rosaceae;Geum;involucratum;Geum involucratum Juss.
Rosaceae;Prunus;ligustrina;Prunus ligustrina Koehne
Rosaceae;Pyrus;pyrifolia;Pyrus pyrifolia (Burm. f.) Nakai
Rubiaceae;Borreria;evenia;Borreria evenia Standl.
Rubiaceae;Borreria;scabiosoides;Borreria scabiosoides Cham. & Schltdl.
Rubiaceae;Chalepophyllum;guianense;Chalepophyllum guianense Hook.f.
Rubiaceae;Coffea;arabica;Coffea arabica L.
Rubiaceae;Declieuxia;fruticosa;Declieuxia fruticosa (Willd. ex Roem. & Schult.) Kuntze
Rubiaceae;Edrastima;uniflora;Edrastima uniflora (L.) Raf.
Rubiaceae;Eumachia;guianensis;Eumachia guianensis (Bremek.) Delprete
Rubiaceae;Faramea;stipulacea;Faramea stipulacea (Cham. & Schltdl.) DC.
Rubiaceae;Hexasepalum;teres;Hexasepalum teres (Walter) J.H.Kirkbr.
Rubiaceae;Ixora;finlaysoniana;Ixora finlaysoniana Wall. ex G.Don
Rubiaceae;Palicourea;acuminata;Palicourea acuminata (Benth.) Borhidi
Rubiaceae;Palicourea;apiculata;Palicourea apiculata (Müll.Arg.) C.MTaylor
Rubiaceae;Palicourea;minutiflora;Palicourea minutiflora (Müll.Arg.) C.M.Taylor
Rubiaceae;Palicourea;racemosa;Palicourea racemosa (Aubl.) G.Nicholson
Rubiaceae;Psychotria;nemorosa;Psychotria nemorosa Gardner
Rubiaceae;Psyllocarpus;bahiensis;Psyllocarpus bahiensis J.A.M.Carmo, Sobrado & R.M.Salas
Rubiaceae;Rudgea;jacobinensis;Rudgea jacobinensis Müll.Arg.
Rubiaceae;Vangueria;madagascariensis;Vangueria madagascariensis J.F. Gmel.
Rutaceae;Zanthoxylum;hamadryadicum;Zanthoxylum hamadryadicum Pirani
Rutaceae;Zanthoxylum;syncarpum;Zanthoxylum syncarpum Tul.
Salicaceae;Casearia;guianensis;Casearia guianensis (Aubl.) Urb.
Salicaceae;Casearia;ulmifolia;Casearia ulmifolia Vahl ex Vent.
Salicaceae;Prockia;crucis;Prockia crucis P.Browne ex L.
Sapindaceae;Allophylus;quercifolius;Allophylus quercifolius (Mart.) Radlk.
Sapindaceae;Cupania;impressinervia;Cupania impressinervia Acev.-Rodr.
Sapindaceae;Pseudima;frutescens;Pseudima frutescens (Aubl.) Radlk.
Sapindaceae;Sapindus;saponaria;Sapindus saponaria L.
Sapindaceae;Talisia;esculenta;Talisia esculenta (Cambess.) Radlk.
Sapotaceae;Chrysophyllum;gonocarpum;Chrysophyllum gonocarpum (Mart. & Eichler ex Miq.) Engl.
Sapotaceae;Cynodendron;revolutum;Cynodendron revolutum (Mart. & Eich.) Bernardi
Sapotaceae;Pouteria;scrobiculata;Pouteria scrobiculata Monach. ex T.D.Penn.
Scrophulariaceae;Herpestes;divaricata;Herpestes divaricata J.A. Schmidt
Selaginellaceae;Selaginella;erythropus;Selaginella erythropus (Mart.) Spring
Selaginellaceae;Selaginella;falcata;Selaginella falcata (P. Beauv.) Spring
Selaginellaceae;Selaginella;germinans;Selaginella germinans Valdespino & C. López
Simaroubaceae;Homalolepis;arenaria;Homalolepis arenaria Devecchi & Pirani (Devecchi & Pirani)
Simaroubaceae;Homalolepis;pohliana;Homalolepis pohliana (Boas) Devecchi & Pirani
Simaroubaceae;Homalolepis;rigida;Homalolepis rigida Devecchi
Solanaceae;Brunfelsia;pauciflora;Brunfelsia pauciflora (Cham. & Schltdl.) Benth.
Solanaceae;Calibrachoa;parviflora;Calibrachoa parviflora (Juss.) D'Arcy
Solanaceae;Solanum;absconditum;Solanum absconditum Agra
Solanaceae;Solanum;fernandesii;Solanum fernandesii V.S. Samp. & R. Moura
Solanaceae;Solanum;lepidotum;Solanum lepidotum Dunal
Solanaceae;Solanum;nudum;Solanum nudum Dunal
Solanaceae;Solanum;paniculatum;Solanum paniculatum L.
Solanaceae;Solanum;psilophyllum;Solanum psilophyllum Stehmann & Giacomin
Solanaceae;Solanum;rhytidoandrum;Solanum rhytidoandrum Sendtn.
Styracaceae;Styrax;leprosus;Styrax leprosus Hook. & Arn.
Symplocaceae;Symplocos;celastrinea;Symplocos celastrinea Mart.
Trigoniaceae;Trigonia;rugosa;Trigonia rugosa Benth.
Turneraceae;Oxossia;calyptrocarpa;Oxossia calyptrocarpa (Urb.) L.Rocha
Turneraceae;Turnera;aromatica;Turnera aromatica Arbo
Turneraceae;Turnera;sidoides;Turnera sidoides L.
Urticaceae;Cecropia;tubulosa;Cecropia tubulosa Klotsch
Urticaceae;Coussapoa;villosa;Coussapoa villosa Poepp. & Endl.
Urticaceae;Pourouma;guianensis;Pourouma guianensis Aubl.
Urticaceae;Pourouma;triloba;Pourouma triloba Trécul
Verbenaceae;Stachytarpheta;cayennensis;Stachytarpheta cayennensis (Rich.) Vahl
Verbenaceae;Timotocia;zelota;Timotocia zelota Moldenke
Violaceae;Pombalia;calceolaria;Pombalia calceolaria (L.) Paula-Souza
Vochysiaceae;Ruizterania;trichanthera;Ruizterania trichanthera (Spruce ex Warm.) Marc.-Berti
Vochysiaceae;Vochysia;tetraphylla;Vochysia tetraphylla (G.Mey.) DC.
Xyridaceae;Xyris;pulchella;Xyris pulchella Wand. & N.Mota
Zingiberaceae;Renealmia;alpinia;Renealmia alpinia (Rottb.) Maas
